user_id,playlist,name,album_name,album_date,album_date_precision,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,track
spotify,This Is The Black Keys,Busted,The Big Come Up,01/07/02,YEAR,0.52,0.82,0.145,0.1360,0.0081,0.325,0.495,1
spotify,This Is The Black Keys,I'll Be Your Man,The Big Come Up,01/07/02,YEAR,0.597,0.729,0.0327,0.4300,0.0003,0.167,0.712,2
spotify,This Is The Black Keys,Heavy Soul,The Big Come Up,01/07/02,YEAR,0.432,0.617,0.049,0.5300,0.0055,0.122,0.873,3
spotify,This Is The Black Keys,Have Love Will Travel,Thickfreakness,01/07/03,YEAR,0.374,0.925,0.0852,0.0695,0.4560,0.262,0.525,4
spotify,This Is The Black Keys,Midnight in Her Eyes,Thickfreakness,01/07/03,YEAR,0.366,0.832,0.0573,0.4780,0.4600,0.0988,0.356,5
spotify,This Is The Black Keys,Set You Free,Thickfreakness,01/07/03,YEAR,0.414,0.928,0.15,0.0586,0.0000,0.137,0.475,6
spotify,This Is The Black Keys,Thickfreakness,Thickfreakness,01/07/03,YEAR,0.356,0.743,0.0412,0.5690,0.9050,0.328,0.518,7
spotify,This Is The Black Keys,Act Nice and Gentle,Rubber Factory,01/07/04,YEAR,0.565,0.629,0.026,0.5310,0.0003,0.11,0.725,8
spotify,This Is The Black Keys,Girl Is on My Mind,Rubber Factory,01/07/04,YEAR,0.471,0.836,0.12,0.5430,0.0095,0.121,0.38,9
spotify,This Is The Black Keys,Keep Me,Rubber Factory,01/07/04,YEAR,0.665,0.839,0.0902,0.5590,0.0002,0.356,0.581,10
spotify,This Is The Black Keys,The Lengths,Rubber Factory,01/07/04,YEAR,0.404,0.508,0.0265,0.9520,0.0008,0.164,0.278,11
spotify,This Is The Black Keys,10 A.M. Automatic,Rubber Factory,01/07/04,YEAR,0.497,0.944,0.103,0.5970,0.1190,0.0376,0.511,12
spotify,This Is The Black Keys,Work Me,Chulahoma,02/05/06,DAY,0.389,0.762,0.0368,0.5010,0.0159,0.123,0.583,13
spotify,This Is The Black Keys,Meet Me in the City,Chulahoma,02/05/06,DAY,0.482,0.754,0.0538,0.5790,0.2270,0.11,0.301,14
spotify,This Is The Black Keys,Your Touch,Magic Potion,11/09/06,DAY,0.531,0.767,0.0521,0.7990,0.0000,0.377,0.638,15
spotify,This Is The Black Keys,Give Your Heart Away,Magic Potion,11/09/06,DAY,0.355,0.773,0.0456,0.6240,0.0006,0.128,0.619,16
spotify,This Is The Black Keys,You're the One,Magic Potion,11/09/06,DAY,0.552,0.457,0.0415,0.8170,0.0018,0.123,0.539,17
spotify,This Is The Black Keys,Strange Desire,Magic Potion,11/09/06,DAY,0.435,0.486,0.0391,0.6920,0.0440,0.104,0.326,18
spotify,This Is The Black Keys,I Got Mine,Attack & Release,31/03/08,DAY,0.252,0.839,0.0409,0.0263,0.3820,0.115,0.455,19
spotify,This Is The Black Keys,Psychotic Girl,Attack & Release,31/03/08,DAY,0.745,0.482,0.029,0.5020,0.3180,0.0667,0.533,20
spotify,This Is The Black Keys,Strange Times,Attack & Release,31/03/08,DAY,0.452,0.826,0.0319,0.0181,0.0005,0.141,0.711,21
spotify,This Is The Black Keys,Tighten Up,Brothers (Deluxe Edition),18/10/10,DAY,0.51,0.709,0.0654,0.0014,0.0000,0.47,0.578,22
spotify,This Is The Black Keys,Howlin' for You,Brothers (Deluxe Edition),18/10/10,DAY,0.708,0.736,0.0952,0.0289,0.0828,0.102,0.473,23
spotify,This Is The Black Keys,Everlasting Light,Brothers (Deluxe Edition),18/10/10,DAY,0.775,0.57,0.0373,0.1260,0.0202,0.365,0.736,24
spotify,This Is The Black Keys,She's Long Gone,Brothers (Deluxe Edition),18/10/10,DAY,0.353,0.862,0.107,0.0414,0.0335,0.218,0.491,25
spotify,This Is The Black Keys,Sinister Kid,Brothers (Deluxe Edition),18/10/10,DAY,0.763,0.828,0.0763,0.1520,0.1870,0.39,0.931,26
spotify,This Is The Black Keys,Never Gonna Give You Up,Brothers (Deluxe Edition),18/10/10,DAY,0.548,0.669,0.0376,0.3530,0.0001,0.139,0.361,27
spotify,This Is The Black Keys,Ten Cent Pistol,Brothers (Deluxe Edition),18/10/10,DAY,0.595,0.503,0.0309,0.3250,0.0167,0.149,0.324,28
spotify,This Is The Black Keys,The Only One,Brothers (Deluxe Edition),18/10/10,DAY,0.433,0.659,0.0325,0.7190,0.0574,0.167,0.607,29
spotify,This Is The Black Keys,Next Girl,Brothers (Deluxe Edition),18/10/10,DAY,0.526,0.709,0.0383,0.0443,0.0002,0.116,0.248,30
spotify,This Is The Black Keys,I'm Not the One,Brothers (Deluxe Edition),18/10/10,DAY,0.604,0.409,0.0306,0.5350,0.0005,0.0927,0.495,31
spotify,This Is The Black Keys,Dearest,Rave On Buddy Holly,01/01/11,DAY,0.698,0.247,0.0878,0.3940,0.0101,0.12,0.441,32
spotify,This Is The Black Keys,Lonely Boy,Lonely Boy,26/10/11,DAY,0.356,0.872,0.068,0.0042,0.0098,0.0997,0.607,33
spotify,This Is The Black Keys,Gold on the Ceiling,El Camino,06/12/11,DAY,0.505,0.833,0.0475,0.0077,0.0001,0.069,0.565,34
spotify,This Is The Black Keys,Little Black Submarines,El Camino,06/12/11,DAY,0.365,0.466,0.0418,0.1610,0.0000,0.106,0.487,35
spotify,This Is The Black Keys,Run Right Back,El Camino,06/12/11,DAY,0.511,0.766,0.0473,0.0300,0.0075,0.221,0.632,36
spotify,This Is The Black Keys,Dead and Gone,El Camino,06/12/11,DAY,0.638,0.709,0.039,0.0080,0.0000,0.335,0.913,37
spotify,This Is The Black Keys,Mind Eraser,El Camino,06/12/11,DAY,0.557,0.586,0.0268,0.0190,0.1870,0.156,0.569,38
spotify,This Is The Black Keys,Sister,El Camino,06/12/11,DAY,0.757,0.661,0.0291,0.0019,0.0001,0.141,0.617,39
spotify,This Is The Black Keys,Money Maker,El Camino,06/12/11,DAY,0.503,0.741,0.0357,0.0003,0.5740,0.44,0.544,40
spotify,This Is The Black Keys,The Baddest Man Alive,The Man with the Iron Fists,22/10/12,DAY,0.526,0.798,0.321,0.0803,0.0021,0.54,0.303,41
spotify,This Is The Black Keys,Fever,Fever,24/03/14,DAY,0.609,0.674,0.0355,0.0038,0.0003,0.129,0.743,42
spotify,This Is The Black Keys,10 Lovers,Turn Blue,09/05/14,DAY,0.606,0.638,0.0339,0.0434,0.0002,0.0887,0.817,43
spotify,This Is The Black Keys,Turn Blue,Turn Blue,09/05/14,DAY,0.647,0.465,0.0245,0.2580,0.1490,0.111,0.243,44
spotify,This Is The Black Keys,In Our Prime,Turn Blue,09/05/14,DAY,0.279,0.626,0.0342,0.0770,0.0039,0.118,0.342,45
spotify,This Is The Black Keys,Gotta Get Away,Gotta Get Away,19/08/14,DAY,0.475,0.836,0.0529,0.0175,0.0000,0.104,0.723,46
spotify,This Is The Black Keys,Weight of Love,Weight of Love,10/02/15,DAY,0.282,0.547,0.0322,0.0300,0.8880,0.104,0.133,47
spotify,This Is The Black Keys,Lo/Hi,Lo/Hi,07/03/19,DAY,0.606,0.679,0.0321,0.0150,0.0004,0.234,0.705,48
spotify,This Is The Black Keys,Eagle Birds,Eagle Birds / Lo/Hi,25/04/19,DAY,0.512,0.78,0.0409,0.0471,0.0242,0.0856,0.609,49
spotify,This Is The Black Keys,Go,Go / Eagle Birds / Lo/Hi,16/05/19,DAY,0.478,0.666,0.0566,0.0428,0.7250,0.336,0.718,50